left,right
160221626181000,160221626181000
260221659510000,260221659510000
360221692857000,360221692857000
460221726186000,460221726186000
560221759515000,560221759515000
660221792844000,660221792844000
760221826173000,760221826173000
860221859502000,860221859502000
960221892850000,960221892850000
1060221926179000,1060221926179000
1160221959508000,1160221959508000
1260221992837000,1260221992837000
1360222026166000,1360222026166000
1460222059513000,1460222059513000
1560222092842000,1560222092842000
1660222126171000,1660222126171000
1760222159500000,1760222159500000
1860222192829000,1860222192829000
1960222226152000,1960222226152000
2060222259506000,2060222259506000
2160222292835000,2160222292835000
2260222326164000,2260222326164000
2360222359493000,2360222359493000
2460222392822000,2460222392822000
2560222426169000,2560222426169000
2660222459498000,2660222459498000
2760222492827000,2760222492827000
2860222526156000,2860222526156000
2960222559486000,2960222559486000
3060222592833000,3060222592833000
3160222626162000,3160222626162000
3260222659491000,3260222659491000
3360222692820000,3360222692820000
3460222726149000,3460222726149000
3560222759473000,3560222759473000
3660222792825000,3660222792825000
3760222826154000,3760222826154000
3860222859484000,3860222859484000
3960222892813000,3960222892813000
4060222926142000,4060222926142000
4160222959489000,4160222959489000
4260222992818000,4260222992818000
4360223026147000,4360223026147000
4460223059476000,4460223059476000
4560223092805000,4560223092805000
4660223126129000,4660223126129000
4760223159481000,4760223159481000
4860223192811000,4860223192811000
4960223226140000,4960223226140000
5060223259469000,5060223292793000
5160223292793000,5160223326145000
5260223326145000,5260223359474000
5360223359474000,5360223392803000
5460223392803000,5460223426132000
5560223426132000,5560223459457000
5660223459457000,5660223492809000
5760223492809000,5760223526138000
5860223526138000,5860223559467000
5960223559467000,5960223592796000
6060223592796000,6060223626125000
6160223626125000,6160223659450000
6260223659450000,6260223692801000
6360223692801000,6360223726130000
6460223726130000,6460223759459000
6560223759459000,6560223792788000
6660223792788000,6660223826113000
6760223826113000,6760223859465000
6860223859465000,6860223892794000
6960223892794000,6960223926123000
7060223926123000,7060223959452000
7160223959452000,7160223992777000
7260223992777000,7260224026128000
7360224026128000,7360224059457000
7460224059457000,7460224092786000
7560224092786000,7560224126115000
7660224126115000,7660224159445000
7760224159445000,7760224192770000
7860224192770000,7860224226121000
7960224226121000,7960224259450000
8060224259450000,8060224292779000
8160224292779000,8160224326108000
8260224326108000,8260224359434000
8360224359434000,8360224392784000
8460224392784000,8460224426113000
8560224426113000,8560224459443000
8660224459443000,8660224492772000
8760224492772000,8760224526098000
8860224526098000,8860224559427000
8960224559427000,8960224592777000
9060224592777000,9060224626106000
9160224626106000,9160224659435000
9260224659435000,9260224692764000
9360224692764000,9360224726090000
9460224726090000,9460224759441000
9560224759441000,9560224792770000
9860224859428000,9860224859428000
9960224892754000,9960224892754000
10060224926104000,10060224926104000
10160224959433000,10160224959433000
10260224992762000,10260224992762000
10360225026091000,10360225026091000
10460225059418000,10460225059418000
10560225092747000,10560225092747000
10660225126097000,10660225126097000
10760225159426000,10760225159426000
10860225192755000,10860225192755000
10960225226084000,10960225226084000
11060225259411000,11060225259411000
11160225292760000,11160225292760000
11260225326089000,11260225326089000
11360225359418000,11360225359418000
11460225392747000,11460225392747000
11560225426074000,11560225426074000
11660225459404000,11660225459404000
11760225492753000,11760225492753000
11860225526082000,11860225526082000
11960225559411000,11960225559411000
12060225592738000,12060225592738000
12160225626067000,12160225626067000
12260225659416000,12260225659416000
12360225692745000,12360225692745000
12460225726075000,12460225726075000
12560225759404000,12560225759404000
12660225792731000,12660225792731000
12760225826080000,12760225826080000
12860225859409000,12860225859409000
12960225892738000,12960225892738000
13060225926067000,13060225926067000
13160225959395000,13160225959395000
13260225992724000,13260225992724000
13360226026072000,13360226026072000
13460226059402000,13460226059402000
13560226092731000,13560226092731000
13660226126059000,13660226126059000
13760226159388000,13760226159388000
13860226192736000,13860226192736000
13960226226065000,13960226226065000
14060226259394000,14060226259394000
14160226292723000,14160226292723000
14260226326052000,14260226326052000
14360226359381000,14360226359381000
14460226392729000,14460226392729000
14560226426058000,14560226426058000
14660226459387000,14660226459387000
14760226492715000,14760226492715000
14860226526044000,14860226526044000
14960226559392000,14960226559392000
15060226592721000,15060226592721000
15160226626050000,15160226626050000
15260226659379000,15260226659379000
15360226692708000,15360226692708000
15460226726056000,15460226726056000
15560226759385000,15560226759385000
15660226792714000,15660226792714000
15760226826043000,15760226826043000
15860226859372000,15860226859372000
15960226892701000,15960226892701000
16060226926048000,16060226926048000
16160226959378000,16160226959378000
16260226992707000,16260226992707000
16360227026036000,16360227026036000
16460227059365000,16460227059365000
16560227092712000,16560227092712000
16660227126041000,16660227126041000
16760227159370000,16760227159370000
16860227192699000,16860227192699000
16960227226029000,16960227226029000
17060227259358000,17060227259358000
17160227292705000,17160227292705000
17260227326034000,17260227326034000
17360227359363000,17360227359363000
17460227392692000,17460227392692000
17560227426021000,17560227426021000
17660227459369000,17660227459369000
17760227492698000,17760227492698000
17860227526027000,17860227526027000
17960227559356000,17960227559356000
18060227592685000,18060227592685000
18160227626033000,18160227626033000
18260227659362000,18260227659362000
18360227692691000,18360227692691000
18460227726020000,18460227726020000
18560227759349000,18560227759349000
18660227792678000,18660227792678000
18760227826025000,18760227826025000
18860227859355000,18860227859355000
18960227892684000,18960227892684000
19060227926013000,19060227926013000
19160227959342000,19160227959342000
19260227992689000,19260227992689000
19360228026018000,19360228026018000
19460228059347000,19460228059347000
19560228092676000,19560228092676000
19660228126006000,19660228126006000
19760228159335000,19760228159335000
19860228192682000,19860228192682000
19960228226011000,19960228226011000
20060228259340000,20060228259340000
20160228292669000,20160228292669000
20260228325999000,20260228325999000
20360228359346000,20360228359346000
20460228392675000,20460228392675000
20560228426004000,20560228426004000
20660228459333000,20660228459333000
20760228492662000,20760228492662000
20860228526010000,20860228526010000
20960228559339000,20960228559339000
21060228592668000,21060228592668000
21160228625997000,21160228625997000
21260228659326000,21260228659326000
21360228692655000,21360228692655000
21460228726002000,21460228726002000
21560228759332000,21560228759332000
21660228792661000,21660228792661000
21760228825990000,21760228825990000
21860228859319000,21860228859319000
21960228892666000,21960228892666000
22060228925995000,22060228925995000
22160228959324000,22160228959324000
22260228992654000,22260228992654000
22360229025983000,22360229025983000
22460229059312000,22460229059312000
22560229092659000,22560229092659000
22660229125988000,22660229125988000
22760229159317000,22760229159317000
22860229192647000,22860229192647000
22960229225976000,22960229225976000
23060229259323000,23060229259323000
23160229292652000,23160229292652000
23260229325981000,23260229325981000
23360229359310000,23360229359310000
23460229392639000,23460229392639000
23560229425987000,23560229425987000
23660229459316000,23660229459316000
23760229492645000,23760229492645000
23860229525974000,23860229525974000
23960229559303000,23960229559303000
24060229592632000,24060229592632000
24160229625980000,24160229625980000
24260229659309000,24260229659309000
24360229692638000,24360229692638000
24460229725967000,24460229725967000
24560229759296000,24560229759296000
24660229792643000,24660229792643000
24760229825972000,24760229825972000
24860229859302000,24860229859302000
24960229892631000,24960229892631000
25060229925960000,25060229925960000
25160229959289000,25160229959289000
25260229992636000,25260229992636000
25360230025965000,25360230025965000
25460230059294000,25460230059294000
25560230092624000,25560230092624000
25660230125953000,25660230125953000
25760230159300000,25760230159300000
25860230192629000,25860230192629000
25960230225958000,25960230225958000
26060230259287000,26060230259287000
26160230292616000,26160230292616000
26260230325964000,26260230325964000
26360230359293000,26360230359293000
26460230392622000,26460230392622000
26560230425951000,26560230425951000
26660230459280000,26660230459280000
26760230492609000,26760230492609000
26860230525957000,26860230525957000
26960230559286000,26960230559286000
27060230592615000,27060230592615000
27160230625944000,27160230625944000
27260230659273000,27260230659273000
27360230692620000,27360230692620000
27460230725950000,27460230725950000
27560230759279000,27560230759279000
27660230792608000,27660230792608000
27760230825937000,27760230825937000
27860230859266000,27860230859266000
27960230892613000,27960230892613000
28060230925942000,28060230925942000
28160230959272000,28160230959272000
28260230992601000,28260230992601000
28360231025930000,28360231025930000
28460231059277000,28460231059277000
28560231092606000,28560231092606000
28660231125935000,28660231125935000
28760231159264000,28760231159264000
28860231192594000,28860231192594000
28960231225941000,28960231225941000
29060231259270000,29060231259270000
29160231292599000,29160231292599000
29260231325928000,29260231325928000
29360231359257000,29360231359257000
29460231392586000,29460231392586000
29560231425934000,29560231425934000
29660231459263000,29660231459263000
